fund_house,quarter,aum_lakh_crore,num_schemes
Kotak MF,2024Q4,4.13,256
Kotak MF,2025Q1,4.32,286
Kotak MF,2025Q2,4.4,230
Kotak MF,2025Q3,4.76,148
Kotak MF,2025Q4,5.07,68
Axis MF,2022Q1,1.47,118
Axis MF,2022Q2,1.57,62
Axis MF,2022Q3,1.64,59
Axis MF,2022Q4,1.76,297
Axis MF,2023Q1,1.93,108
Axis MF,2023Q2,1.91,51
Axis MF,2023Q3,2.06,257
Axis MF,2023Q4,2.2,229
Axis MF,2024Q1,2.35,178
Axis MF,2024Q2,2.47,247
Axis MF,2024Q3,2.45,103
Axis MF,2024Q4,2.65,68
Axis MF,2025Q1,2.88,146
Axis MF,2025Q2,3.0,77
Axis MF,2025Q3,3.14,182
Axis MF,2025Q4,3.23,125
Mirae Asset MF,2022Q1,0.8,79
Mirae Asset MF,2022Q2,0.91,67
Mirae Asset MF,2022Q3,0.99,240
Mirae Asset MF,2022Q4,1.05,238
Mirae Asset MF,2023Q1,1.14,234
Mirae Asset MF,2023Q2,1.17,199
Mirae Asset MF,2023Q3,1.23,266
Mirae Asset MF,2023Q4,1.31,137
Mirae Asset MF,2024Q1,1.41,144
Mirae Asset MF,2024Q2,1.47,226
Mirae Asset MF,2024Q3,1.51,67
Mirae Asset MF,2024Q4,1.62,275
Mirae Asset MF,2025Q1,1.72,110
Mirae Asset MF,2025Q2,1.81,131
Mirae Asset MF,2025Q3,1.88,127
Mirae Asset MF,2025Q4,1.97,245
PPFAS MF,2022Q1,0.42,52
PPFAS MF,2022Q2,0.45,63
PPFAS MF,2022Q3,0.51,280
PPFAS MF,2022Q4,0.49,184
PPFAS MF,2023Q1,0.56,194
PPFAS MF,2023Q2,0.56,247
PPFAS MF,2023Q3,0.58,288
PPFAS MF,2023Q4,0.65,132
PPFAS MF,2024Q1,0.66,256
PPFAS MF,2024Q2,0.69,216
PPFAS MF,2024Q3,0.72,182
PPFAS MF,2024Q4,0.78,128
PPFAS MF,2025Q1,0.84,101
PPFAS MF,2025Q2,0.83,158
PPFAS MF,2025Q3,0.91,75
PPFAS MF,2025Q4,0.91,216
DSP MF,2022Q1,0.6,270
DSP MF,2022Q2,0.67,290
DSP MF,2022Q3,0.74,221
DSP MF,2022Q4,0.77,286
DSP MF,2023Q1,0.86,294
DSP MF,2023Q2,0.88,254
DSP MF,2023Q3,0.92,281
DSP MF,2023Q4,0.96,280
DSP MF,2024Q1,1.04,206
DSP MF,2024Q2,1.1,139
DSP MF,2024Q3,1.17,85
DSP MF,2024Q4,1.18,148
DSP MF,2025Q1,1.26,162
DSP MF,2025Q2,1.34,225
DSP MF,2025Q3,1.38,196
DSP MF,2025Q4,1.39,240
UTI MF,2022Q1,1.0,107
UTI MF,2022Q2,1.03,208
UTI MF,2022Q3,1.11,199
UTI MF,2022Q4,1.16,204
UTI MF,2023Q1,1.23,167
UTI MF,2023Q2,1.35,134
UTI MF,2023Q3,1.35,133
UTI MF,2023Q4,1.51,275
UTI MF,2024Q1,1.56,136
UTI MF,2024Q2,1.67,285
UTI MF,2024Q3,1.74,65
UTI MF,2024Q4,1.74,55
UTI MF,2025Q1,1.9,257
UTI MF,2025Q2,2.01,56
UTI MF,2025Q3,2.06,63
UTI MF,2025Q4,2.06,52
